customer_id,customer_name,gender,age,city,state,join_date,plan_id,contract_type,internet_service,tenure_months,churn
1,Yasti Koshy,Male,69,Tadepalligudem,Karnataka,2022-07-30,2,Two-Year,None,55,Yes
2,David Sunder,Female,21,Deoghar,Delhi,2023-07-26,1,Monthly,None,58,No
3,Dalaja Goel,Male,51,Mysore,Maharashtra,2022-10-24,1,Two-Year,DSL,4,Yes
4,Krishna Sridhar,Male,22,Udupi,Karnataka,2024-09-02,1,Monthly,DSL,26,No
5,Saksham Atwal,Male,50,Deoghar,Rajasthan,2023-05-26,4,Annual,None,47,No
6,Chandresh Comar,Female,22,Rourkela,Tamil Nadu,2021-01-12,2,Monthly,5G,39,No
7,Raagini Kata,Male,55,Kumbakonam,Madhya Pradesh,2024-01-19,4,Monthly,Fiber,57,No
8,Dalaja Rai,Male,51,Dindigul,Karnataka,2022-01-23,4,Annual,5G,47,No
9,Harshil Halder,Male,43,Phagwara,Delhi,2021-03-24,4,Monthly,Fiber,26,No
10,Logan Rai,Female,18,Giridih,Karnataka,2023-09-03,4,Monthly,DSL,48,Yes
11,Ishaan Ramachandran,Male,21,Ajmer,Madhya Pradesh,2022-01-31,4,Monthly,DSL,28,No
12,Chaman Singh,Male,56,Bettiah,Tamil Nadu,2022-06-29,1,Monthly,5G,49,Yes
13,Tripti Dey,Male,43,Jamalpur,Maharashtra,2022-10-23,4,Annual,Fiber,37,Yes
14,Ijaya Seth,Male,50,Imphal,Rajasthan,2022-10-02,3,Annual,Fiber,38,No
15,Chatura Sankar,Female,50,Bathinda,Rajasthan,2021-04-10,1,Monthly,5G,36,No
16,Jason Pathak,Male,25,Dehri,Maharashtra,2022-04-02,2,Monthly,5G,10,No
17,Saksham Vyas,Female,37,Surat,Gujarat,2023-05-24,2,Monthly,DSL,54,No
18,Chandran Thaman,Female,33,Kamarhati,Tamil Nadu,2021-11-24,1,Two-Year,DSL,33,Yes
19,Aarna Shankar,Female,38,Nizamabad,Rajasthan,2022-12-25,4,Two-Year,,8,No
20,Upadhriti Madan,Male,62,Aizawl,Gujarat,2021-03-15,1,Annual,DSL,38,No
21,Nimrat Prabhu,Female,43,Solapur,Gujarat,2024-01-25,2,Two-Year,Fiber,42,No
22,Girish Bhattacharyya,Male,40,Vijayawada,Madhya Pradesh,2021-04-02,2,Two-Year,DSL,36,No
23,Farhan Raj,Female,35,Eluru,Madhya Pradesh,2021-11-26,1,Monthly,None,21,No
24,Faraj Sawhney,Female,48,Kottayam,Madhya Pradesh,2021-06-24,3,Monthly,5G,56,No
25,Harish Shan,Female,69,Hosur,Delhi,2021-11-11,3,Monthly,DSL,45,No
26,Baljiwan Babu,Female,59,Vadodara,Tamil Nadu,2025-05-11,3,Monthly,Fiber,50,No
27,Andrew Goda,Female,29,Rajahmundry,Maharashtra,2022-05-12,2,Annual,,20,Yes
28,Jackson Bala,Female,18,Vellore,Tamil Nadu,2024-07-16,3,Annual,DSL,55,No
29,Faraj Vala,Female,59,Jammu,Madhya Pradesh,2022-03-04,3,Annual,,34,Yes
30,Liam Edwin,Female,26,Malda,Delhi,2021-02-04,1,Monthly,Fiber,38,No
31,Vamakshi Mittal,Male,20,Imphal,Tamil Nadu,2021-04-29,4,Annual,5G,43,No
32,Ria Narain,Male,68,Tenali,Tamil Nadu,2024-10-26,4,Monthly,Fiber,28,Yes
33,Qarin Sandal,Female,43,Junagadh,Gujarat,2023-07-14,1,Monthly,DSL,32,No
34,Ishwar Vig,Female,26,Chinsurah,Tamil Nadu,2025-05-11,4,Two-Year,DSL,12,Yes
35,Faqid Bakshi,Female,59,Dibrugarh,Gujarat,2025-01-14,3,Monthly,DSL,9,Yes
36,Nitara Nadig,Male,68,Bidar,Gujarat,2024-08-25,2,Monthly,DSL,43,No
37,Kavya Sani,Female,33,,Karnataka,2024-10-12,3,Annual,DSL,15,No
38,Chanakya Golla,Male,41,Ulhasnagar,Madhya Pradesh,2024-10-31,1,Two-Year,Fiber,13,No
39,Megha Dash,Male,67,Danapur,Rajasthan,2023-04-08,4,Monthly,DSL,2,No
40,Tristan Bandi,Male,31,Nagpur,Delhi,2024-02-03,1,Annual,Fiber,20,No
41,Alexander Gopal,Male,20,Karimnagar,Gujarat,2022-01-25,1,Two-Year,Fiber,14,No
42,Sara Bhat,Male,51,Sikar,Tamil Nadu,2021-06-25,3,Monthly,DSL,42,No
43,Chaaya Pandya,Female,50,Faridabad,Gujarat,2021-04-16,4,Monthly,DSL,15,No
44,Frado Mital,Female,67,Sagar,Gujarat,2022-08-15,2,Annual,5G,29,Yes
45,Vedika Sampath,Female,41,Morbi,Gujarat,2024-04-01,3,Monthly,5G,58,No
46,Gunbir Kakar,Female,26,Pallavaram,Maharashtra,2023-07-03,1,Monthly,,21,No
47,Rachita Borah,Female,30,Eluru,Rajasthan,2024-07-14,1,Two-Year,Fiber,10,No
48,Balendra Arora,Male,19,Ambattur,Rajasthan,2025-05-06,4,Annual,Fiber,56,No
49,Abhiram Sarna,Female,24,Ahmedabad,Maharashtra,2024-07-26,1,Monthly,Fiber,53,Yes
50,Chandran Kurian,Female,65,Madurai,Maharashtra,2024-08-19,1,Monthly,DSL,53,No
51,Ranveer Sandhu,Male,38,Ujjain,Maharashtra,2023-08-13,3,Annual,Fiber,58,No
52,Thomas Bhakta,Female,36,Thoothukudi,Rajasthan,2023-08-11,4,Monthly,DSL,41,No
53,Aarnav Venkatesh,Male,42,Asansol,Karnataka,2023-05-11,3,Annual,5G,58,Yes
